140,,,,
Luna,2/14/2020,57.81,Bird,flies
Simba,1/8/2022,36.23,Reptile,cold-blooded
Max,7/17/2021,46.94,Small Animal,yes
Ginger,11/21/2018,181.16,Dog,Foxhound
Shadow,3/12/2022,52.72,Cat,Burmilla
Charlie,9/2/2019,163.06,Small Animal,yes
Bella,6/5/2019,43.02,Rabbit,no
Lucky,2/1/2022,145.88,Small Animal,yes
Oliver,12/7/2020,85.52,Cat,Cymric
Daisy,1/15/2023,9.47,Rabbit,no
Rocky,12/27/2018,107.71,Reptile,warm
Molly,4/19/2021,84.87,Small Animal,yes
Tucker,2/14/2023,30.01,Cat,Korat
Lucy,7/28/2020,121.19,Rabbit,no
Leo,11/6/2022,59.33,Small Animal,yes
Sadie,5/22/2019,42.22,Reptile,warm
Coco,12/4/2018,129.6,Cat,Siberian Forest Cat
Buddy,5/11/2020,80.43,Small Animal,yes
Daisy,3/9/2021,77.96,Bird,walks
Pepper,8/29/2022,108.48,Rabbit,yes
Zeus,6/10/2020,70.92,Dog,Havanese
Bailey,12/2/2021,96.55,Bird,flies
Ruby,12/20/2022,180.27,Rabbit,no
Thor,3/28/2023,150.2,Small Animal,yes
Rosie,10/14/2018,94.7,Reptile,warm
Bandit,1/31/2019,101.44,Small Animal,yes
Chloe,1/23/2020,137.74,Cat,Dragon Li
Duke,5/7/2021,117.52,Rabbit,yes
Maggie,3/20/2023,22.81,Dog,Keeshond
Milo,9/12/2018,19.76,Small Animal,yes 
Ginger,8/8/2020,29.17,Reptile,warm
Blue,9/16/2021,53.06,Small Animal,yes
Lola,7/21/2019,39.19,Rabbit,yes
Harley,7/1/2022,133.89,Cat,Peterbald
Abby,9/19/2020,160.15,Small Animal,yes
Finn,4/2/2023,88.1,Bird,walks
Roxy,5/10/2022,121.56,Small Animal,yes
Winston,12/14/2018,25.44,Reptile,warm
Mia,4/1/2019,78.83,Rabbit,no
Bear,10/30/2021,137.12,Cat,Colorpoint Shorthair
Stella,1/2/2023,40.95,Small Animal,yes
Jack,4/27/2020,73.57,Dog,Dalmatian
Nala,9/11/2022,60.23,Rabbit,yes
Rusty,6/24/2019,137.79,Small Animal,yes
Gatsby,11/1/2018,140.63,Reptile,cold-blooded
Koda,2/18/2021,111.36,Small Animal,yes
Marley,1/28/2023,31.76,Cat,Selkirk Rex
Gigi,2/14/2019,152.37,Rabbit,yes
Samson,11/11/2020,129.66,Small Animal,yes
Phoebe,6/8/2022,45.08,Bird,walks
Baxter,10/3/2018,83.01,Rabbit,no
Cleo,6/23/2021,127.47,Small Animal,yes
Bruno,11/17/2019,83.63,Dog,Collie
Luna,4/4/2022,159.1,Cat,Highlander
Zeus,2/7/2023,53.14, Small Animal,yes
Jasper,2/23/2020,86.02,Reptile,cold-blooded
Poppy,1/11/2021,17.36,Small Animal,yes
Cleo,9/24/2018,109.97,Rabbit,yes
Zeus,1/25/2022,56.38,Cat,Sokoke
Sadie,7/9/2020,18.83,Bird,flies
Mimi,3/24/2021,147.15,Small Animal,no
Max,9/16/2019,136.24,Reptile,warm
Taz,3/6/2023,74.33,Rabbit,yes
Poppy,11/19/2022,87.6,Dog,Chow Chow
Sasha,12/9/2018,56.94,Small Animal,yes
Lulu,5/25/2020,37.72,Cat,Javanese
Thor,11/3/2021,98.18,Bird,flies
Peanut,5/10/2019,60.44,Small Animal,no
Oscar,8/13/2022,106.46,Rabbit,no
Piper,9/1/2020,179.24,Reptile,cold-blooded
Luna,2/14/2020,152.53,Cat,Kurilian Bobtail
Simba,1/8/2022,55.69,Small Animal,yes
Max,7/17/2021,82.38,Reptile,warm
Ginger,11/21/2018,198.25,Bird,walks
Shadow,3/12/2022,61.67,Rabbit,yes
Charlie,9/2/2019,144.1,Small Animal,no 
Bella,6/5/2019,97.36,Dog,Basenji
Lucky,2/1/2022,144.87,Small Animal,no
Oliver,12/7/2020,57.67,Rabbit,no
Daisy,1/15/2023,82.79,Reptile,cold-blooded
Rocky,12/27/2018,88.67,Small Animal,yes
Molly,4/19/2021,143.48,Bird,walks
Tucker,2/14/2023,75.03,Small Animal,no
Lucy,7/28/2020,133.89,Cat,American Curl
Leo,11/6/2022,19.9,Rabbit,yes
Sadie,5/22/2019,135.08,Reptile,cold-blooded
Coco,12/4/2018,114.53,Small Animal,yes 
Buddy,5/11/2020,115.72,Dog,Afghan Hound
Pepper,3/9/2021,125.88,Small Animal,no
Zeus,8/29/2022,123.09,Rabbit,yes
Bailey,6/10/2020,38.62,Cat,Tiffany
Ruby,12/2/2021,181.41,Small Animal,yes
Thor,12/20/2022,110.49,Reptile,cold-blooded
Rosie,3/28/2023,71.6,Small Animal,yes
Bandit,10/14/2018,94.17,Bird,flies
Chloe,1/31/2019,177.52,Rabbit,no
Duke,1/23/2020,132.52,Small Animal,yes 
Maggie,5/7/2021,39.33,Dog,Scottish Terrier
Milo,3/20/2023,81.05,Cat,Khao Manee
Blue,9/12/2018,30.69,Small Animal,yes
Lola,8/8/2020,86.05,Reptile,warm
Harley,9/16/2021,120.53,Rabbit,yes
Abby,7/21/2019,34.6,Small Animal,yes 
Finn,7/1/2022,59.41,Bird,walks
Roxy,9/19/2020,48.81,Small Animal,yes
Winston,4/2/2023,64.76,Rabbit,no
Mia,5/10/2022,57.81,Reptile,warm
Bear,12/14/2018,36.23,Small Animal,yes
Stella,4/1/2019,46.94,Cat,Oriental Shorthair
Jack,10/30/2021,181.16,Small Animal,yes
Nala,1/2/2023,52.72,Dog,Lhasa Apso
Rusty,4/27/2020,163.06,Small Animal,yes
Gatsby,9/11/2022,43.02,Rabbit,yes
Koda,6/24/2019,145.88,Reptile,cold-blooded
Marley,11/1/2018,85.52,Small Animal,yes
Gigi,2/18/2021,9.47,Cat,Siberian
Samson,1/28/2023,107.71,Small Animal,yes
Phoebe,2/14/2019,84.87,Bird,flies
Baxter,11/11/2020,30.01,Rabbit,no
Cleo,6/8/2022,121.19,Small Animal,yes
Bruno,10/3/2018,59.33,Reptile,warm
Luna,6/23/2021,42.22,Small Animal,yes
Zeus,11/17/2019,129.6,Cat,Toyger
Jasper,4/4/2022,80.43,Rabbit,yes
Poppy,2/7/2023,77.96,Small Animal,yes 
Cleo,2/23/2020,108.48,Dog,Bloodhound
Zeus,1/11/2021,70.92,Small Animal,yes 
Sadie,9/24/2018,96.55,Reptile,warm
Mimi,1/25/2022,180.27,Small Animal,yes
Max,7/9/2020,150.2,Rabbit,no
Taz,3/24/2021,94.7,Bird,walks
Poppy,9/16/2019,101.44,Small Animal,yes
Sasha,3/6/2023,137.74,Cat,Aegean
Lulu,11/19/2022,117.52,Reptile,cold-blooded
Thor,12/9/2018,22.81,Small Animal,yes
Peanut,5/25/2020,19.76,Rabbit,yes
Oscar,11/3/2021,29.17,Small Animal,yes 
Piper,5/10/2019,53.06,Dog,English Mastiff
Shadow,8/13/2022,39.19,Small Animal,yes 
Bella,9/1/2020,133.89,Bird,walks
